name,price,comnum,link
 Python数据科学手册 9787115475893 [美]杰克·万托布拉斯(Jake VanderPlas) 人民邮,109.0,0,http://product.dangdang.com/1375394016.html
 Python深度学习 9787115488763 [美] 弗朗索瓦·肖莱(Francois Chollet) 人民邮电,119.0,0,http://product.dangdang.com/1375242116.html
" Python学习手册：第4版(涵盖Python2 6和3 X) 9787111326533 鲁特兹,李军,刘红伟 机械",119.0,0,http://product.dangdang.com/1375241516.html
 Python编程(第四版) 9787512355309 Mark Lutz 中国电力出版社,198.0,0,http://product.dangdang.com/1374736916.html
 Python高级编程 9787302452850 [美] Luke Sneeringer 宋沄剑 刘磊 清华大学出版社,49.8,0,http://product.dangdang.com/1372311716.html
 Python数据分析 9787115411228 [印尼]Ivan Idris 伊德里斯 人民邮电出版社,59.0,0,http://product.dangdang.com/1371766216.html
 Python编程入门与案例详解 9787302499701,28.4,0,http://product.dangdang.com/1371713622.html
 Python并行编程参考手册(影印版) 9787564170738 (意)吉安卡洛·扎克尼 东南大学出版社,66.0,0,http://product.dangdang.com/1371540016.html
 Python数据科学指南 9787115435101 印度 Gopi Subramanian 萨伯拉曼尼安 人民邮电出,79.0,0,http://product.dangdang.com/1371239316.html
 Python 3面向对象编程 9787121262463,50.6,0,http://product.dangdang.com/1488496155.html
 Python机器学习入门(影印版) 9787564169060 (美)安德烈亚斯·穆勒莎拉·圭多 东南大学出版社,89.0,0,http://product.dangdang.com/1371095816.html
 Python核心编程 第3版 英文版 9787115413529 [美] 卫斯理 春(Wesley Chun) 人民邮,99.0,0,http://product.dangdang.com/1371004116.html
 【套装3本】 Python基础编程java从入门到精通 C语言 Python视频教程 Python编程从零基础到项目实,191.0,0,http://product.dangdang.com/1370884310.html
 Python 实战编程-从零学Python 正版 黑马程序员 9787113240073,84.35,0,http://product.dangdang.com/1487252139.html
 Python Web开发-测试驱动方法,84.15,1,http://product.dangdang.com/1486866851.html
" Python数据可视化编程实战 9787115384393 （爱尔兰）米洛万诺维奇,颛清山 人民邮电出版社",49.0,0,http://product.dangdang.com/1368483516.html
 Python高性能编程 9787115454898 [美] Micha Gorelick 戈雷利克 Ian Ozsva,79.0,0,http://product.dangdang.com/1368479316.html
 Python 3学习笔记(上卷) 雨痕 电子工业出版社 9787121332746,89.0,0,http://product.dangdang.com/1366209788.html
 【预订】Python Unit Test Automation 9781484226766,332.0,0,http://product.dangdang.com/1477781649.html
 Python程序设计实用教程 杨连贺 董禹龙 房超 毕璐琪 梁润宇 杨阳 彭进香 清华大学出版社 9787302500,56.0,0,http://product.dangdang.com/1363284388.html
 Python黑客攻防入门 [韩]赵诚文 [韩]郑暎勋 人民邮电出版社 9787115473004【新华书店】,59.0,0,http://product.dangdang.com/1363173288.html
